Hisse,Son,Al��,Sat��,Fark,En D���k,En Y�ksek,AOF,Hacim TL,Hacim Lot
TKNSA,20.56,20.54,20.56,-0.0019,20.36,20.84,20.56,52661551,2560988
TLMAN,102.8,102.80,102.90,0.0019,101.1,109.9,105.46,163807127,1553259
TMPOL,370.75,370.75,-,0.0993,338,370.75,353.98,242278171,684437
TMSN,98,97.95,98.00,-0.0091,97.95,99.55,98.64,49055462,497304
TNZTP,24.84,24.84,24.86,-0.0127,24.46,25.26,24.78,32834681,1324844
TOASO,294,294.00,294.25,-0.0118,291.25,299.5,294.2,494570770,1681088
TRALT,45.14,45.12,45.14,-0.0654,44.8,49,47.11,8202660010,174130110
TRCAS,44.72,44.34,44.72,0.039,42.78,44.86,43.89,50857259,1158867
TRENJ,86.9,86.85,86.90,-0.0471,86.85,92.35,89.67,144385494,1610270
TRGYO,96.4,96.35,96.40,0.0142,94.1,96.7,95.76,199074126,2078849
TRHOL,1648,1.539.00,1.648.00,0.0612,1532,1698,1565.62,150537874,96152
TRILC,2,-,2.00,-0.0991,2,2,2,5633142,2816571
TRMET,112.7,112.30,112.70,-0.0561,111.4,121,115.61,561789764,4859259
TSGYO,6.72,6.72,6.74,-0.019,6.72,7.03,6.9,27375018,3968117
TSKB,11.54,11.54,11.56,-0.0162,11.53,11.78,11.63,220121131,18929677
TSPOR,0.95,0.94,0.95,0,0.94,0.96,0.95,114776084,120834338
TTKOM,62.3,62.25,62.30,-0.0212,61.9,64.45,63.27,2765504148,43709501
TTRAK,438.75,438.75,439.00,-0.0185,437.75,451.5,442.25,89473245,202316
TUCLK,4.34,4.34,4.35,-0.0136,4.32,4.53,4.4,42039269,9552282
TUKAS,2.36,2.35,2.36,-0.0288,2.34,2.49,2.43,1084103433,445365723
TUPRS,240.8,240.70,240.80,0.037,233,241.8,238.38,4793811308,20110110
TUREX,8.29,8.28,8.29,-0.0315,8.24,8.67,8.39,304381076,36286924
TURGG,28.88,28.88,28.94,-0.0263,28.74,29.8,29.24,18162917,621173
TURSG,12.79,12.60,12.79,-0.0008,12.42,12.97,12.75,625593551,49079096
UCAYM,35.52,35.50,35.52,0.0447,34,37,35.66,1154978150,32393258
UFUK,1343,1.343.00,1.344.00,0.0022,1328,1364,1344.72,21186082,15755
ULAS,26.8,26.80,26.82,-0.0074,26.7,27.2,26.85,7852175,292447
ULKER,115.8,114.60,115.80,0.0052,114.2,115.8,114.97,410219192,3567927
ULUFA,3.9,3.89,3.90,0.0078,3.89,4.2,4.02,188047875,46735461
ULUSE,349,349.00,352.00,0.0029,343,358.75,351.7,172050588,489191
ULUUN,8.39,8.38,8.39,0.0096,8.29,8.53,8.38,57443571,6854638
UMPAS,9.3,-,-,0,0,0,0,0,0
UNLU,13.01,13.01,13.09,-0.0166,12.97,13.34,13.15,14616023,1111505
USAK,1.55,1.55,1.56,-0.019,1.54,1.58,1.56,99303937,63570509
VAKBN,31.76,31.76,31.78,-0.0287,31.6,33.24,32.37,2131046094,65837001
VAKFA,12.11,12.10,12.15,-0.0194,11.89,12.42,12.26,93887953,7660780
VAKFN,1.69,1.68,1.69,-0.0059,1.67,1.71,1.69,97695329,57930333
VAKKO,75.1,75.10,75.25,-0.0092,74.75,77.3,76.01,13292337,174884
VANGD,85.15,84.95,85.15,-0.0082,83.7,87,85.17,14544178,170761
VBTYZ,29.18,29.16,29.18,-0.0102,28.7,30.58,29.68,185206251,6240349
VERTU,39.82,39.78,39.82,-0.0278,39.7,41.4,40.47,11868472,293238
VERUS,601,601.00,601.50,0.0178,590,608.5,602.83,36731386,60932
VESBE,6.62,6.62,6.67,-0.0149,6.62,6.79,6.71,17042875,2540157
VESTL,25.54,25.54,25.56,-0.0192,25.5,26.24,25.83,86727454,3357381
VKFYO,30.18,29.88,30.18,0.0508,27.48,31.1,28.08,17693526,630051
VKGYO,2.75,2.75,2.76,-0.0283,2.75,2.83,2.79,41964596,15041829
VKING,27.4,27.30,27.40,0.0363,26.44,27.96,27.19,52277668,1922692
VRGYO,2.17,2.16,2.17,-0.0181,2.16,2.22,2.18,54282633,24912599
VSNMD,93.5,93.30,93.50,0.0269,89.85,95.35,92.96,397796489,4279050
YAPRK,13.4,13.39,13.40,0.0229,13.02,14.1,13.56,116782117,8612953
