Hisse,Son,Al��,Sat��,Fark,En D���k,En Y�ksek,AOF,Hacim TL,Hacim Lot
BYDNR,43,43.00,43.08,-0.0436,42.36,46.38,44.78,159817262,3568896
CANTE,1.53,1.52,1.53,-0.0129,1.53,1.56,1.54,381810081,248113494
CASA,84.2,84.05,84.20,-0.0344,84.2,87.5,86.05,2052575,23854
CATES,40.2,40.12,40.20,0.0055,39.54,40.66,39.99,26144591,653730
CCOLA,78.8,78.75,78.80,0,75.35,79.05,77.21,966310064,12515759
CELHA,17.3,17.30,17.32,0.0894,15.8,17.46,16.83,539864212,32079577
CEMAS,4.83,4.82,4.83,-0.0143,4.8,4.95,4.85,54436297,11217651
CEMTS,10.18,10.16,10.18,-0.0249,10.13,10.47,10.25,38387853,3744320
CEMZY,13.19,13.18,13.19,-0.0075,13.16,13.65,13.41,95534664,7124049
CEOEM,28.5,28.40,28.50,0.0259,27.56,29.3,28.29,107481447,3799179
CGCAM,52.55,52.50,52.55,0.0994,48.36,52.55,51.36,579169451,11276431
CIMSA,49.52,49.52,49.62,-0.0366,49.52,51.7,50.22,328188675,6535090
CLEBI,1631,1.631.00,1.639.00,-0.0133,1630,1660,1645.49,41448337,25189
CMBTN,1596,1.596.00,1.598.00,-0.0087,1589,1637,1607.19,26949431,16768
CMENT,297,296.50,297.00,-0.01,287.5,297,292.21,2693563,9218
CONSE,2.92,2.92,2.94,-0.0068,2.91,3,2.95,29158717,9870234
COSMO,170,169.80,170.00,-0.0258,169.4,174.4,171,6861591,40126
CRDFA,37.06,37.06,37.40,-0.0101,36.88,37.7,37.12,71165065,1917293
CRFSA,136,135.20,136.00,0.0726,125,136,130.91,210573080,1608588
CUSAN,28.8,28.80,28.82,0.0435,26.32,29.58,28.12,174541667,6207170
CVKMD,43.1,43.10,43.14,-0.0486,43.04,45.3,44.05,737187718,16735611
CWENE,40.54,40.54,40.58,0.015,39.48,41.36,40.51,1124154101,27747478
DAGI,7.27,7.23,7.27,0.0041,7.15,7.4,7.29,28299799,3882651
DAPGM,10,9.99,10.00,-0.0602,9.7,10.96,10.4,2719760652,261504051
DARDL,2.3,2.29,2.30,0,2.24,2.33,2.29,66100667,28877280
DCTTR,12.37,12.37,12.38,0.0206,12,12.4,12.12,87639596,7232663
DENGE,2.29,2.29,2.30,-0.0129,2.28,2.34,2.31,18764886,8134995
DERHL,13.62,13.62,13.63,0.0029,13.37,13.9,13.66,140048185,10254795
DERIM,37.7,37.70,37.80,0.008,36.88,38.74,37.99,19171314,504714
DESA,12.27,12.26,12.27,-0.0323,12.23,12.65,12.46,8975047,720055
DESPC,47.08,47.08,47.40,-0.013,47.08,50.5,48.64,53761250,1105277
DEVA,65.35,65.35,65.40,-0.0106,65.15,66.6,65.78,17612406,267748
DGATE,125,125.00,125.20,0,124.5,131.3,126.32,57886112,458234
DGGYO,31.9,31.88,31.90,-0.0062,30.86,32.48,31.98,2162687,67628
DGNMO,9.4,9.40,9.41,-0.0505,9.4,10.21,9.8,59603273,6081820
DIRIT,25.98,25.90,25.98,-0.0196,25.98,26.5,26.39,1853973,70254
DITAS,42.08,41.96,42.08,0.0557,39.64,43.84,41.86,522735188,12486562
DMLKTG,6.1,6.09,6.10,-0.0033,6.08,6.2,6.15,54618956,8889001
DMRGD,10.38,10.38,10.43,-0.0389,10.38,10.95,10.53,290803162,27617817
DMSAS,8.59,8.59,8.60,-0.0138,8.55,8.77,8.61,16852459,1956307
DNISI,19.42,19.42,19.44,-0.0046,19.29,20,19.43,11121469,572338
DOAS,183.1,183.00,183.10,-0.0113,183,185.8,184.44,169351008,918170
DOCO,9795,9.792.50,9.795.00,-0.0094,9740,10072.5,9900.71,71621728,7234
DOFER,34.14,34.14,34.16,-0.0274,34.14,35.5,34.68,38812501,1119256
DOFRB,166.1,166.10,166.90,-0.0343,165.8,178.1,171.27,1092643672,6379693
DOGUB,100.9,100.50,100.90,-0.0204,100.4,104.4,102.23,30336977,296744
DOHOL,21.58,21.56,21.58,-0.056,21.48,22.88,21.95,272341664,12410338
DOKTA,30.14,30.14,30.38,-0.042,30.08,32.5,31.19,43171106,1384361
DSTKF,2325,2.318.00,2.325.00,0.0301,2229,2325,2267.38,747055917,329480
DUNYH,118.1,118.10,118.30,0.0068,116.4,122.8,119.59,206716193,1728508
DURDO,5.4,5.40,5.42,0,5.36,5.56,5.43,15164211,2790739
DURKN,20.8,20.80,20.92,-0.0179,20.64,21.5,21.04,63055180,2996721
DYOBY,15.3,15.25,15.30,-0.0103,15.1,15.57,15.35,41781955,2722211
DZGYO,8.36,8.36,8.37,-0.0324,8.31,8.86,8.56,43821454,5118579
EBEBK,86.9,86.85,86.90,0.0224,84.15,88,85.99,77843053,905245
ECILC,84,84.00,84.05,-0.0244,83.6,86.65,85.46,253003586,2960522
ECOGR,36,36.00,36.02,-0.0296,36,37.58,37,368088481,9949789
ECZYT,348.75,348.50,348.75,-0.0141,348.25,356.5,351.65,70584717,200727
EDATA,15.28,15.27,15.28,-0.0468,15.03,16.27,15.59,151265938,9700408
EDIP,36.48,36.48,36.52,-0.0005,36.42,37.08,36.7,17317037,471880
EFOR,12.8,12.78,12.80,0.0622,12.33,12.8,12.63,974558552,77184142
EGEEN,5825,5.815.00,5.825.00,0.021,5705,6000,5858.77,238070910,40635
EGEGY,29.1,29.10,29.20,-0.0415,29,30.6,29.58,93075496,3146189
EGEPO,19.55,19.49,19.55,-0.0036,19.3,19.73,19.49,23747038,1218431
EGGUB,99.05,99.05,99.10,-0.0289,98.25,102.3,99.8,69040939,691815
EGPRO,38.28,38.28,38.34,-0.0567,38.16,41.26,39.5,67815058,1716771
EGSER,3.45,3.44,3.45,0.0029,3.36,3.48,3.41,13729631,4028498
EKDMR,58.55,58.55,58.60,0.0139,56.3,60.65,58.81,2297964019,39076980
EKGYO,19.23,19.23,19.24,-0.0536,19.23,20.4,19.57,2944338516,150443949
EKIZ,89.55,89.50,89.55,0.0006,89.1,89.75,89.54,1853341,20698
EKOS,7.92,7.92,7.93,-0.021,7.9,8.32,8.1,317408045,39204122
EKSUN,7.35,7.32,7.35,-0.02,7.25,7.61,7.38,47365325,6422316
ELITE,40.88,40.88,40.96,0.0149,39.8,42,40.79,79909826,1958910
EMKEL,22.9,22.88,22.90,-0.092,22.7,26.02,24.46,588882558,24078405
EMNIS,168.5,168.50,169.00,0.0144,167.1,168.5,167.31,1442080,8619
EMPAE,119.1,119.10,-,0.0997,101.8,119.1,116.03,1719956911,14823325
ENDAE,18.05,18.01,18.05,0.014,17.5,18.81,18.26,181625095,9944193
ENERY,8.68,8.68,8.71,-0.0258,8.68,8.93,8.82,183031485,20747396
ENJSA,107.1,107.00,107.10,-0.0102,107,109,107.85,161867359,1500801
ENKAI,93.35,93.30,93.35,-0.0169,92.5,95.15,93.42,935463878,10013303
ENPRA,74.05,74.05,74.15,0.0386,67.65,74.05,70.22,6056745,86257
ENSRI,14.57,14.57,-,0.0996,13.3,14.57,14.14,1533898916,108493397
ENTRA,4.75,4.74,4.75,-0.0084,4.74,4.88,4.81,80973604,16839053
EPLAS,6.03,6.00,6.03,0.0379,5.78,6.04,5.92,51315892,8672263
ERBOS,192.9,192.80,192.90,-0.0062,190.9,196.2,193.62,5725658,29572
ERCB,61.8,61.80,62.10,-0.0175,61.5,64.25,62.67,83237132,1328229
EREGL,39.16,39.16,39.18,-0.0234,38.88,40.54,39.77,6322276930,158975734
ERSU,26,26.00,26.08,-0.0046,25.48,26.22,25.81,8211925,318181
ESCAR,50.15,49.96,50.15,-0.0147,49.7,51.35,50.56,100917699,1996122
ESCOM,5.12,5.12,5.13,-0.0358,5.1,5.49,5.31,204384084,38527232
ESEN,3.93,3.93,3.94,-0.0224,3.92,4.05,3.98,207703753,52211857
ETILR,5.7,5.70,5.71,0.0088,5.53,5.92,5.7,80820957,14185682
ETYAT,11.17,11.16,11.17,0.0951,9.89,11.17,10.48,16421667,1566768
EUHOL,11.16,11.16,11.17,-0.0211,11,11.16,11.08,8380931,756422
EUKYO,9.24,9.00,9.24,0.0154,8.7,9.3,8.97,12868262,1434054
EUPWR,88.7,88.65,88.70,0.0023,86,92.85,89.64,3824301377,42665218
EUREN,4.71,4.71,4.72,-0.0368,4.71,4.92,4.81,225091538,46816670
EUYO,6.58,6.58,6.59,0.0217,6.14,6.58,6.4,5404026,844106
EYGYO,2.55,2.55,2.58,-0.0414,2.55,2.68,2.61,41298758,15812763
FADE,16.31,16.31,16.34,-0.0292,16.27,16.92,16.54,74837136,4524704
FENER,3.92,3.92,3.93,-0.0076,3.82,4.09,3.97,1218073662,306809682
FLAP,15,14.90,15.00,0.0417,13.22,15.21,13.96,51443578,3685053
FMIZP,302.75,302.50,302.75,-0.0289,302,313.75,306.53,17599173,57415
FONET,5.53,5.52,5.53,-0.0349,5.46,5.84,5.61,163302432,29106331
FORMT,2.24,2.23,2.24,0.009,2.18,2.3,2.23,107342006,48159784
FORTE,91.9,91.85,91.90,-0.0291,91.85,95.65,93.97,106448887,1132849
FRIGO,3.08,3.07,3.08,-0.0032,3.05,3.11,3.08,47303424,15381283
FRMPL,39.3,39.30,39.36,-0.0101,39.1,40.8,40.02,324297259,8103775
FROTO,86.2,86.20,86.25,-0.0271,85.85,89.2,87.19,2516760905,28866001
FZLGY,14.48,14.48,14.49,-0.0347,14.43,15.02,14.66,182830348,12470686
GARAN,125,124.90,125.10,-0.0347,124.9,130.3,126.27,3450153277,27324337
GARFA,32.8,32.74,32.80,0.0832,30.02,32.9,31.94,106546079,3335671
GATEG,300,299.75,300.00,-0.0196,300,305,301.05,10342397,34354
GEDIK,6.97,6.97,-,0.0994,6.27,6.97,6.72,210878093,31364359
GEDZA,36.5,36.50,36.52,-0.0344,36.5,39.5,37.75,212634860,5632347
GENIL,8.45,8.45,8.48,0.023,8,8.62,8.33,505973872,60740140
GENKM,16.84,16.84,16.85,0.0518,15.3,17.14,16.18,2318464108,143280584
GENTS,6.95,6.93,6.95,-0.0307,6.84,7.33,7.02,128920002,18356213
GEREL,36.66,36.66,36.72,-0.025,35.82,38.2,37.13,188382360,5074285
GESAN,81.3,81.25,81.30,-0.0091,80.4,84.15,82.2,1657724778,20167630
GIPTA,72.25,72.25,72.30,-0.0183,72.2,75.85,73.86,93578010,1267015
GLBMD,12.5,12.31,12.50,-0.0188,12.26,12.74,12.43,2505563,201506
GLCVY,59.35,59.25,59.35,0.0085,58.65,59.8,59.2,30405065,513631
GLRMK,175.5,175.40,175.50,-0.0228,175.4,181,178.27,559634986,3139280
GLRYH,3.33,3.33,3.34,-0.0089,3.32,3.41,3.37,34671756,10291866
GLYHO,15.28,15.27,15.28,-0.0193,15.2,15.75,15.36,53578075,3488044
GMTAS,51.5,51.30,51.50,0.0421,49.52,52.15,50.92,237134624,4656691
GOKNR,24.2,24.20,24.24,-0.0131,24.1,24.92,24.39,150959169,6188262
GOLTS,332,332.00,332.75,-0.0104,331.75,338.75,334.15,37051735,110885
GOODY,16.02,16.02,16.22,-0.0244,16.01,16.48,16.27,18131274,1114743
GOZDE,20.2,20.16,20.22,0.0218,19.73,20.54,20.13,49776131,2472244
GRNYO,19.89,19.68,19.89,-0.024,19.67,20.38,19.87,3733180,187853
GRSEL,309.25,309.25,310.50,-0.0336,309.25,319,313.75,83770648,266996
GRTHO,208.5,208.40,208.50,0.0126,206.1,213,210.04,187267532,891574
GSDDE,12.41,12.41,12.42,0.0455,12,12.98,12.55,330256664,26312592
GSDHO,5.4,5.39,5.40,0.0526,5.27,5.64,5.56,725132705,130342843
GSRAY,1.09,1.09,1.10,-0.0091,1.09,1.11,1.1,255305959,232690773
GUBRF,493,493.00,493.25,-0.0565,493,525.5,507.07,944091994,1861858
GUNDG,1271,1.266.00,1.271.00,0.047,1160,1271,1204.86,271255500,225135
GWIND,26.46,26.44,26.46,-0.0171,26.36,27.12,26.77,127368759,4757115
GZNMI,68.4,68.40,68.45,-0.013,68.15,71.25,69.61,196781833,2826753
HALKB,45,44.98,45.00,-0.0092,44,47.72,46.21,3713780728,80365215
HATEK,16.65,16.65,16.68,-0.0398,16.5,17.48,16.88,31632580,1873684
HATSN,62.8,62.80,-,0.0998,56.1,62.8,60.29,499974365,8292959
HDFGS,2.67,2.66,2.67,-0.0255,2.67,2.76,2.7,88383849,32705099
HEDEF,114,111.60,114.00,0.0298,107,114,109.88,279534389,2544108
HEKTS,4.14,4.14,4.15,-0.0655,4.04,4.52,4.29,2205051388,514611507
HKTM,14.31,14.31,14.35,-0.0325,14.27,15.09,14.64,60967783,4164928
HLGYO,6.21,6.17,6.21,-0.008,6.16,6.3,6.24,146452763,23455720
HOROZ,67.45,67.45,67.50,-0.0095,67.3,69.9,68.48,113110047,1651755
HRKET,124.6,124.60,124.70,0.0081,121.5,132,126.25,834663341,6611376
HTTBT,41.3,41.30,41.32,-0.0005,40.12,45.44,42.62,63097975,1480344
HUBVC,3.4,3.38,3.40,-0.0029,3.33,3.48,3.4,5606423,1650764
HUNER,3.89,3.89,3.90,-0.0226,3.85,4.02,3.93,216312758,55060777
HURGZ,7.54,7.53,7.54,-0.0395,7.45,7.95,7.7,58659553,7613936
ICBCT,20.62,20.62,20.64,-0.031,20.12,22.12,20.93,261256551,12480858
ICUGS,5.86,5.85,5.86,-0.0168,5.77,6.04,5.91,32979919,5582665
IDGYO,5.26,5.25,5.26,0.0757,4.75,5.3,5.05,39306982,7780313
IEYHO,117.2,117.10,117.20,0.0372,113.6,117.4,116.17,549786607,4732424
IHAAS,104.5,104.20,104.50,0.0245,102,106,104,238481649,2293055
IHEVA,2.16,2.15,2.16,-0.0092,2.14,2.18,2.16,3226030,1491898
IHGZT,1.4,1.40,1.41,-0.0345,1.39,1.45,1.42,26830452,18904871
IHLAS,1.92,1.92,1.93,-0.0495,1.91,2.04,1.94,180365809,92796561
IHLGM,1.93,1.93,1.94,-0.0302,1.92,2,1.96,44941502,22977128
IHYAY,1.71,1.70,1.71,-0.0229,1.69,1.76,1.72,9115323,5310743
IMASM,3.31,3.30,3.31,-0.0119,3.27,3.37,3.31,57001366,17227307
INDES,12.04,12.02,12.04,-0.0368,11.95,12.52,12.22,96379164,7888399
INFO,3.74,3.74,3.75,0,3.68,3.84,3.74,65648343,17570078
INGRM,445.25,445.25,447.00,-0.0236,445.25,463.25,452.34,23804671,52626
INTEK,240,239.90,240.00,-0.0041,240,241,240.95,1497990,6217
INTEM,270.5,270.50,270.75,0.0009,267.25,279.75,271.23,28135118,103732
INVEO,8.26,8.26,8.27,0.011,8.12,8.49,8.34,111422730,13361114
INVES,644.5,644.00,644.50,0.0047,634,649,643.2,64101593,99660
ISATR,4950000,-,4.454.957.50,0,0,0,0,0,0
ISBIR,76.35,76.35,77.10,-0.0117,76.35,77.3,77.06,1545727,20058
ISBTR,400000,397.932.50,401.000.00,0,399997.5,400000,399998.75,799998,2
ISCTR,13.19,13.19,13.20,-0.0386,13.17,13.82,13.45,6922889087,514740095
ISDMR,62.8,62.75,62.80,0.0121,61.75,65,63.5,313681723,4939725
ISFIN,19.61,19.58,19.61,-0.002,19.43,19.73,19.53,23222378,1188832
ISGSY,107.4,107.40,107.50,-0.0376,107,111.6,109.39,73118857,668421
ISGYO,20.66,20.64,20.66,-0.0134,20.62,21.12,20.83,24760631,1188661
ISKPL,15.21,-,15.21,-0.0995,15.21,16.89,15.79,4597245171,291127164
ISKUR,2650000,-,-,0.0897,2600000,2650000,2625000,5250000,2
ISMEN,37.74,37.64,37.74,-0.0016,37.3,37.92,37.61,218845621,5819646
ISSEN,8.48,8.47,8.48,-0.023,8.45,8.8,8.63,20626163,2388892
ISYAT,7.99,7.99,8.00,-0.0062,7.98,8.06,8.02,5623476,701151
IZENR,9.94,9.94,9.95,-0.0996,9.94,11.03,10.49,1907789732,181951880
IZFAS,66.35,65.70,66.35,0.0184,63.85,66.35,64.6,640228686,9911324
IZINV,65.3,65.25,65.30,-0.0143,65.3,66.9,66.07,20112404,304401
IZMDC,8.24,8.21,8.24,0.0236,7.93,8.28,8.17,93498198,11450269
JANTS,17.28,17.27,17.28,-0.0069,17.13,17.48,17.25,26633577,1544454
KAPLM,576,575.50,576.00,-0.0196,570.5,599,588.03,95795193,162910
KAREL,11.9,11.90,11.93,-0.071,11.9,12.97,12.43,221115386,17786389
KARSN,12.89,12.89,12.90,-0.0625,12.86,13.86,13.38,314218471,23487221
KARTN,135.9,135.90,136.30,-0.0159,132.6,139.6,135.78,117963683,868786
KATMR,2.76,2.75,2.76,-0.0282,2.76,2.87,2.82,211148352,74915585
KAYSE,4.63,4.62,4.63,-0.0107,4.59,4.73,4.66,67762660,14551255
KBORU,23.64,23.60,23.64,-0.0414,23.54,24.76,24.12,144101903,5973916
KCAER,14.13,14.13,14.14,0.0129,13.7,14.16,13.95,307718262,22056785
KCHOL,189,188.90,189.00,-0.0115,188.6,192.3,190.28,2504537940,13162691
KENT,395,395.00,395.75,-0.0038,395,396.5,395.38,1401628,3545
KERVN,5.8,5.80,5.81,0.0175,5.7,5.8,5.77,4334319,750857
KFEIN,11.24,11.24,11.25,0.0036,11.12,11.99,11.57,257161596,22231685
KGYO,11.71,11.70,11.71,-0.0449,11.17,12.54,11.92,453114408,38021217
KIMMR,16.76,16.72,16.76,0.0096,16.32,17.12,16.81,34921590,2077503
KLGYO,4.94,4.93,4.94,-0.0295,4.92,5.13,5.03,72620612,14451252
KLKIM,31.1,31.10,31.28,-0.0202,31.1,31.74,31.4,37579991,1196725
KLMSN,33.56,33.56,33.70,-0.0351,33.56,34.88,34.23,25237660,737310
KLNMA,9,8.99,9.00,-0.0022,8.99,9.1,9.02,1048185,116274
KLRHO,106.7,106.60,106.70,-0.0074,105,113.2,108.54,1011891116,9322388
KLSER,29.18,29.18,29.20,-0.0108,29.18,29.92,29.48,57936396,1965071
KLSYN,13.57,13.56,13.62,0.0127,13.01,13.81,13.58,84843234,6250136
KLYPV,61.5,61.50,61.75,-0.0223,61.5,63.85,62.53,148574082,2376234
KMPUR,21.08,21.08,21.14,-0.0427,21.08,22.62,21.67,55387124,2556281
KNFRT,15.07,15.07,15.12,-0.0743,14.66,17.19,16.08,373413200,23216273
KOCMT,2.54,2.54,2.55,-0.0155,2.54,2.6,2.58,50045852,19429953
